sid,city,longitude,latitude,time,season,type,gvi
44014,Beijing,116.3727085,39.77997124,201901,0,0,0.000639468
119492,Beijing,116.3312756,39.78079339,201901,0,0,0.000483218
89439,Beijing,116.5524239,39.7545806,201901,0,0,0.0001114
104868,Beijing,116.3474813,39.97535157,201901,0,0,0.00114294
81262,Beijing,116.3542189,39.76550664,201901,0,0,0.031004051
88130,Beijing,116.4220756,39.89922785,201901,0,0,0.011647859
119524,Beijing,116.3277333,39.78100605,201901,0,0,0.000774016
181024,Beijing,116.1570997,39.92849069,201901,0,0,0.00098235
245274,Beijing,116.3361985,39.88676117,201901,0,0,0.012106481
90207,Beijing,116.6406846,39.9059877,201901,0,0,0.001022859
69848,Beijing,116.3932909,39.94757591,201901,0,0,0.006225405
321840,Beijing,116.1740758,39.90788287,201901,0,0,0.00219184
187323,Beijing,116.4310608,39.88283643,201901,0,0,0.066650752
93541,Beijing,116.3386877,39.93111638,201901,0,0,0.000253183
310632,Beijing,116.701547,39.91413784,201901,0,0,0.001030093
229457,Beijing,116.3276601,39.9720559,201901,0,0,0.003233507
256482,Beijing,117.1186616,40.15686623,201901,0,0,0.007006655
255093,Beijing,115.9681646,40.46125986,201901,0,0,0.006940104
119102,Beijing,116.3282924,39.78117925,201901,0,0,0.016429398
331220,Beijing,116.6457544,40.09539629,201901,0,0,0.00030816
69954,Beijing,116.4275698,39.93466033,201901,0,0,0.01322772
257379,Beijing,116.549502,39.72834337,201901,0,0,0.001177662
12950,Beijing,116.636736,39.89513453,201901,0,0,0.001581308
157303,Beijing,116.22396,39.89393537,201901,0,0,0.00822338
96463,Beijing,116.4249569,39.92289182,201901,0,0,0.019866898
34866,Beijing,116.3132926,39.70988767,201901,0,0,0.009506655
284786,Beijing,116.6731975,40.35966752,201901,0,0,0.000494792
258060,Beijing,116.6416109,39.92856761,201901,0,0,0.003532986
81308,Beijing,116.3656117,39.76175162,201901,0,0,0.001889468
299133,Beijing,116.2958736,40.02394683,201901,0,0,0.00058015
181359,Beijing,116.4171492,39.94886319,201901,0,0,0.015876736
275971,Beijing,116.6404812,40.11652278,201901,0,0,0.003838252
6453,Beijing,116.2896879,40.05252553,201901,0,0,0.000166377
234622,Beijing,116.1067958,39.88924107,201901,0,0,0.001383102
260041,Beijing,116.6702462,39.90775451,201901,0,0,0.000371817
180227,Beijing,116.4163489,39.90180206,201901,0,0,0.004657118
314990,Beijing,116.4493582,39.76037313,201901,0,0,4.34E-06
342280,Beijing,116.6782133,39.8776372,201901,0,0,0.003398438
88015,Beijing,116.4006618,39.94751427,201901,0,0,0.027044271
98244,Beijing,116.3503273,39.94438982,201901,0,0,0.000269097
315245,Beijing,116.2548736,40.09396035,201901,0,0,0.00615162
299705,Beijing,115.9830156,40.35052455,201901,0,0,0.00145978
105817,Beijing,116.3968284,39.8911168,201901,0,0,0.008467882
226486,Beijing,116.2291121,39.90269939,201901,0,0,0.008587963
346253,Beijing,116.5303969,40.08736575,201901,0,0,0.000687211
55635,Beijing,116.156906,39.91786643,201901,0,0,0.093551794
194710,Beijing,116.2297644,40.08747198,201901,0,0,0.012120949
144105,Beijing,116.4094077,39.95777443,201901,0,0,0.015062211
352058,Beijing,116.6091354,40.12480101,201901,0,0,0.001108218
102429,Beijing,116.3580259,39.87003196,201901,0,0,0.001490162
319556,Beijing,116.5379542,40.09968333,201901,0,0,0.028845486
200855,Beijing,116.0145262,40.34762272,201901,0,0,0.00754485
79761,Beijing,116.5294984,39.75007194,201902,0,0,0.000144676
337661,Beijing,116.4313749,39.84656244,201902,0,0,0.000183738
147472,Beijing,116.6520932,40.1287868,201902,0,0,0.000601852
65608,Beijing,116.5565017,39.91120333,201902,0,0,0.025778356
167306,Beijing,116.4548259,39.88181537,201902,0,0,0.01187066
102468,Beijing,116.3150799,39.8840635,201902,0,0,0.005868056
56707,Beijing,116.4510832,40.02618014,201902,0,0,0.000491898
350788,Beijing,116.5588504,39.87450422,201902,0,0,0.002743056
140896,Beijing,116.3272411,39.72638719,201902,0,0,0.007230903
243880,Beijing,116.386994,39.88374397,201902,0,0,0.003399884
204344,Beijing,116.4855634,39.93320882,201902,0,0,0.015206887
200648,Beijing,116.3409742,39.94406141,201902,0,0,0.066960359
249583,Beijing,116.3390894,39.81423508,201902,0,0,0.001358507
162694,Beijing,116.3616021,40.05074074,201902,0,0,0.002929688
121074,Beijing,116.2300488,40.18281643,201902,0,0,0.001422164
315170,Beijing,116.2473572,40.08497029,201902,0,0,0.001228299
206604,Beijing,116.4558867,39.91487083,201902,0,0,0.002168692
355853,Beijing,116.5444339,39.7512364,201902,0,0,0.000154803
261599,Beijing,116.3029035,40.11510807,201902,0,0,0.004832176
257089,Beijing,116.5746335,39.80685081,201902,0,0,0.00145978
72772,Beijing,116.5632781,40.03688472,201902,0,0,0.019244792
346244,Beijing,116.6219584,40.04290986,201902,0,0,0.002565104
203923,Beijing,116.4875358,39.99716097,201902,0,0,0.000844907
83632,Beijing,116.2467722,39.91561595,201902,0,0,0.008742766
284871,Beijing,116.5613781,39.919013,201902,0,0,0.000691551
56240,Beijing,116.2288148,39.94339019,201902,0,0,0.015056424
200260,Beijing,116.26403,40.02747369,201902,0,0,0.010804398
7656,Beijing,116.3396585,40.03871189,201902,0,0,0.000927373
202178,Beijing,116.3661147,40.11507407,201902,0,0,0.002361111
59833,Beijing,116.5814906,39.87712898,201902,0,0,0.005397859
169412,Beijing,116.2797153,39.85477593,201902,0,0,0.000251736
333615,Beijing,116.5762021,39.95812261,201902,0,0,0.000273438
138540,Beijing,116.3783663,39.86198053,201902,0,0,0.001548032
2818,Beijing,116.3320139,39.9126452,201902,0,0,0.000704572
155959,Beijing,116.2488235,40.19484228,201902,0,0,0.00182147
28403,Beijing,116.4759823,39.86996571,201902,0,0,0.000381944
85950,Beijing,116.3748431,39.98083502,201902,0,0,0.004823495
108465,Beijing,116.4774021,39.90436166,201902,0,0,0.038373843
281588,Beijing,116.5709183,39.92336045,201902,0,0,5.79E-06
278429,Beijing,116.4798487,40.00619551,201902,0,0,0.014671586
322416,Beijing,116.3683056,39.86812192,201902,0,0,0.002518808
